avg_deal_price,lowest_deal_price,num_bidder,num_plates
14735.0,13600.0,3718.0,1400.0
14057.0,13100.0,4590.0,1800.0
14662.0,14300.0,5190.0,2000.0
16334.0,16000.0,4806.0,2300.0
18357.0,17800.0,4665.0,2350.0
20178.0,19600.0,4502.0,2800.0
20904.0,19800.0,3774.0,3000.0
21601.0,21000.0,4640.0,3000.0
24040.0,23600.0,4393.0,3200.0
27040.0,26400.0,4661.0,3200.0
31721.0,30800.0,4021.0,3200.0
27848.0,100.0,3525.0,3600.0
24267.0,18800.0,9442.0,3000.0
25254.0,23800.0,12030.0,3000.0
29551.0,28800.0,11219.0,3000.0
34845.0,34100.0,8794.0,3300.0
36903.0,35000.0,14634.0,3800.0
37667.0,36100.0,15507.0,5500.0
38269.0,36900.0,11929.0,6000.0
39369.0,38500.0,9315.0,4500.0
38728.0,28800.0,8532.0,6650.0
34842.0,32800.0,9383.0,4500.0
34284.0,33100.0,9849.0,5042.0
38054.0,37100.0,10491.0,4776.0
39516.0,38000.0,8663.0,5000.0
40053.0,39600.0,10156.0,4800.0
43333.0,43000.0,9950.0,4800.0
45492.0,44200.0,8150.0,5500.0
34226.0,10800.0,8114.0,6527.0
21001.0,17800.0,19233.0,6233.0
23544.0,21800.0,14464.0,6600.0
25991.0,25100.0,15506.0,6800.0
30033.0,29300.0,10634.0,6640.0
29768.0,28000.0,9519.0,6600.0
27620.0,26000.0,9188.0,6600.0
30282.0,29300.0,9005.0,5500.0
32520.0,28500.0,6208.0,5500.0
32425.0,31700.0,8949.0,3800.0
34684.0,34300.0,9117.0,4000.0
37355.0,36800.0,8113.0,5000.0
35661.0,35000.0,9673.0,5833.0
37479.0,37000.0,8409.0,5690.0
38378.0,37900.0,8777.0,6326.0
35905.0,25000.0,7520.0,6829.0
28927.0,26500.0,10972.0,6700.0
26385.0,25200.0,11167.0,6000.0
30320.0,29800.0,13633.0,5700.0
36749.0,35200.0,8351.0,5700.0
31220.0,26900.0,5907.0,5000.0
34887.0,34200.0,12367.0,3800.0
38932.0,38500.0,8904.0,4500.0
38326.0,37500.0,7888.0,5000.0
38139.0,37700.0,8301.0,4500.0
39752.0,39500.0,8478.0,4500.0
39966.0,39600.0,8966.0,5500.0
40459.0,39900.0,9190.0,6200.0
41601.0,37000.0,7064.0,6500.0
37899.0,36300.0,11237.0,6500.0
38460.0,37800.0,110234.0,6000.0
40518.0,39800.0,9477.0,6500.0
40974.0,38500.0,6587.0,6000.0
40473.0,39100.0,5056.0,3500.0
41573.0,41100.0,10168.0,4000.0
43623.0,43300.0,10523.0,5500.0
44853.0,44500.0,10273.0,6000.0
47711.0,47200.0,11478.0,6000.0
46581.0,45200.0,10327.0,5500.0
46897.0,46500.0,12943.0,8000.0
49631.0,48600.0,10561.0,8500.0
51000.0,50500.0,10715.0,7500.0
54317.0,53800.0,10596.0,7500.0
56042.0,50000.0,10356.0,7500.0
23370.0,8100.0,20539.0,16000.0
32379.18181818182,29945.454545454544,22616.636363636364,7681.818181818182
32169.0,31300.0,63534.0,9300.0
37659.0,37300.0,37072.0,9000.0
36047.0,34400.0,26341.0,8200.0
34947.0,33900.0,21208.0,7700.0
34491.0,33800.0,16783.0,6800.0
36460.0,35900.0,13451.0,6000.0
31788.0,29300.0,11002.0,6500.0
33224.0,32600.0,11882.0,5000.0
24351.0,21800.0,10170.0,5500.0
31665.0,31000.0,16801.0,4500.0
29399.0,28600.0,16544.0,5200.0
33394.0,33000.0,16848.0,5200.0
27552.0,26600.0,18575.0,6000.0
28724.0,28300.0,17654.0,6500.0
29100.0,28500.0,16471.0,7200.0
30363.0,30000.0,17433.0,8000.0
32522.0,32100.0,17220.0,8000.0
36231.0,36000.0,18750.0,8000.0
29500.0,27200.0,14906.0,8500.0
34402.0,33900.0,22006.0,8000.0
35317.0,34900.0,21902.0,8000.0
37593.0,36900.0,18577.0,8000.0
38311.0,37800.0,18975.0,8000.0
38620.0,38300.0,18810.0,7500.0
39882.0,39600.0,17704.0,8000.0
41637.0,41000.0,17313.0,8500.0
42262.0,41900.0,16324.0,8500.0
